user_id,item_id,recommend,posted_date,year,sentiment_analysis
76561197970982479,1250,True,2011-11-05,2011,2
76561197970982479,22200,True,2011-07-15,2011,2
js41637,227300,True,2013-09-08,2013,0
js41637,239030,True,2013-11-29,2013,0
evcentric,248820,True,,0,2
evcentric,370360,True,2015-12-04,2015,2
evcentric,237930,True,2014-11-03,2014,2
evcentric,263360,True,2014-10-15,2014,0
evcentric,107200,True,2014-10-15,2014,2
evcentric,224500,True,2014-10-15,2014,2
doctr,250320,True,2013-10-14,2013,2
doctr,20920,True,2012-07-28,2012,2
doctr,204100,True,2012-06-02,2012,2
doctr,224600,True,2014-06-29,2014,2
doctr,207610,True,2012-11-22,2012,0
doctr,108710,True,2012-02-23,2012,2
maplemage,211420,True,2014-04-15,2014,1
maplemage,211820,True,2013-12-23,2013,2
maplemage,730,True,2014-03-14,2014,2
maplemage,204300,True,2013-07-11,2013,2
MeaTCompany,730,True,,0,0
76561198089393905,440,True,2014-06-20,2014,1
76561198156664158,252950,True,,0,2
76561198077246154,440,True,,0,1
76561198077246154,304930,True,2014-08-25,2014,1
WeiEDKrSat,4000,True,2013-12-25,2013,1
thequeenpanda,42910,True,2012-06-23,2012,1
death-hunter,232090,True,2015-09-05,2015,2
death-hunter,1250,True,2015-03-30,2015,2
death-hunter,4000,True,2014-02-19,2014,2
DJKamBer,304930,True,2014-07-14,2014,0
DJKamBer,570,True,2013-04-27,2013,2
DJKamBer,218620,True,2015-07-20,2015,2
DJKamBer,224260,True,2013-11-04,2013,2
DJKamBer,1250,True,2013-07-12,2013,2
DJKamBer,440,True,2012-08-19,2012,1
Rainbow-Dashie,730,True,2015-06-19,2015,2
Rainbow-Dashie,440,True,2014-09-20,2014,2
Rainbow-Dashie,49520,True,2014-09-07,2014,0
MarbleShrine,220200,True,2015-02-17,2015,2
PPanther,211820,True,2014-06-07,2014,2
devvonst,440,True,2014-02-12,2014,2
devvonst,218740,True,2014-02-09,2014,1
devvonst,550,True,2015-10-31,2015,2
Fr0stedLine,220,True,,0,2
76561198058373434,8870,True,2015-01-08,2015,1
76561198048353577,368230,True,2015-10-26,2015,0
76561198048353577,4000,True,,0,2
76561198048353577,33930,True,2013-03-20,2013,2
76561198066046412,359320,False,2015-12-28,2015,0
76561198066046412,219640,True,2015-05-19,2015,2
tru_mu_,287980,True,2015-12-15,2015,2
76561198070565427,218620,True,,0,1
76561198070565427,208090,True,2015-08-21,2015,1
76561198070565427,242700,True,2014-10-17,2014,1
76561198070565427,570,False,2014-06-27,2014,1
76561198070565427,224260,True,2014-04-28,2014,1
SavageEeEe,221100,True,2015-11-12,2015,2
76561198076909484,570,True,2014-06-18,2014,0
KanadeTheNeko,331470,True,2014-11-20,2014,2
KanadeTheNeko,4000,True,2014-05-29,2014,2
Leaf_Light_Moscow,323370,True,,0,2
GoAwayZach,304930,True,2014-12-29,2014,2
76561198054540475,48700,True,2014-02-04,2014,2
76561198085547365,238460,True,,0,2
76561198085547365,34900,True,,0,2
76561198061252210,730,True,2015-05-21,2015,2
OfficialShroomsy,113200,True,2013-12-06,2013,0
boydeer,440,True,2014-05-12,2014,1
VVillis,213670,True,2015-01-06,2015,1
76561198083226897,105600,True,2015-12-22,2015,0
76561198075277292,730,True,2015-06-23,2015,1
76561198075277292,570,True,2015-09-11,2015,2
76561198028895010,620,True,2012-05-27,2012,2
diego9031,4000,True,,0,1
diego9031,317360,True,,0,1
diego9031,223710,True,2015-12-05,2015,1
diego9031,299360,True,2015-10-04,2015,1
diego9031,322330,True,2015-10-03,2015,2
diego9031,1250,True,2015-08-13,2015,1
diego9031,12100,True,2015-02-22,2015,1
diego9031,204360,True,2015-01-14,2015,2
diego9031,440,True,2013-12-14,2013,0
diego9031,224260,True,2013-12-01,2013,2
jarrodtrim,440,True,2012-02-11,2012,2
76561198078738103,304930,True,,0,0
76561198067936203,440,True,2015-03-12,2015,2
76561198087586464,440,True,2013-10-27,2013,2
Derp-e,440,True,2015-11-27,2015,2
76561198070194565,449140,True,,0,1
76561198070194565,368730,True,,0,1
76561198070194565,427270,True,,0,2
76561198070194565,397100,True,,0,1
76561198070194565,248570,True,2015-11-09,2015,1
Rivtex,298630,True,2015-12-23,2015,1
UTNerd24,244210,True,2014-05-06,2014,0
UTNerd24,440,True,2015-12-02,2015,0
UTNerd24,376920,True,2015-06-06,2015,2
UTNerd24,257750,True,2015-09-29,2015,1
UTNerd24,221910,True,2014-09-08,2014,0
UTNerd24,2280,True,2013-12-15,2013,2
sandwiches1,417860,False,2015-11-23,2015,1
76561198138053270,218620,True,2014-06-01,2014,2
Life-Of-Blu,377160,True,2015-11-13,2015,2
Life-Of-Blu,211820,True,2013-12-15,2013,2
CaptianAutismo,252490,True,2015-12-17,2015,2
76561198075895633,440,True,2014-10-26,2014,2
TheDropix101,242920,True,,0,2
kube134,251990,True,2014-06-28,2014,2
iamthekingofbrowntown,344760,False,2015-09-12,2015,0
iamthekingofbrowntown,252950,True,2015-09-13,2015,1
iamthekingofbrowntown,236430,True,,0,1
iamthekingofbrowntown,399730,True,2015-10-14,2015,2
MainScout,550,True,,0,2
yookobz,377160,True,2015-11-19,2015,2
yookobz,219150,True,2013-06-25,2013,2
Posiblydead,277430,True,2014-04-11,2014,2
Posiblydead,239820,True,2014-02-22,2014,2
Posiblydead,17410,True,2012-09-24,2012,2
